"station","region","state","station_code","first date","height","longitude","latitude"
SAO JOAQUIM,S,SC,A815,"2008-04-12",1410.0,-49.93444444,-28.27555554
JUINA,CO,MT,A920,"2006-11-24",365.39,-58.73305554,-11.36694443
URUCUI,NE,PI,A346,"2008-03-06",398.83,-44.34472221,-7.44142
FORMOSO DO RIO PRETO,NE,BA,A452,"2016-06-02",488.0,-45.200769,-11.052164
PORTO ALEGRE,S,RS,A801,"2000-09-22",46.97,-51.16666666,-30.05
PORTO VELHO,N,RO,A925,"2007-07-11",98.0,-63.47499999,-8.76388888
ITAPIRA,SE,SP,A739,"2007-11-05",634.89,-46.80527777,-22.415
SAO JOAO DEL REI,SE,MG,A514,"2006-06-09",991.0,-44.250928,-21.106502
CARMO,SE,RJ,A629,"2018-10-11",293.0,-42.60083333,-21.9386111
XINGUARA,N,PA,A247,"2016-09-11",245.0,-49.92583332,-7.11027777
UBERLANDIA,SE,MG,A507,"2002-12-18",874.77,-48.25555555,-18.91694443
CURITIBA,S,PR,A807,"2003-01-28",923.5,-49.23055554,-25.43333333
IBIRUBA,S,RS,A883,"2012-12-13",456.0,-53.111881,-28.65333333
MONTEIRO,NE,PB,A334,"2007-08-22",606.39,-37.11527777,-7.89138888
DELFINO,NE,BA,A443,"2008-07-15",646.24,-41.20694444,-10.45492
IBITINGA,SE,SP,A737,"2007-11-09",496.75,-48.66666666,-21.85555555
ITAPACI,CO,GO,A015,"2007-02-03",551.16,-49.53944444,-14.97972221
SALVADOR (RADIO FAROL),NE,BA,A456,"2018-03-10",31.0,-38.49583333,-12.80833333
SAO LUIZ GONZAGA,S,RS,A852,"2007-07-25",245.5,-54.96222222,-28.41694443
COTRIGUACU,CO,MT,A919,"2007-05-28",265.0,-58.57194443,-9.90611111
PIRANHAS,NE,AL,A371,"2017-09-20",187.0,-37.767113,-9.62222221
URUGUAIANA,S,RS,A809,"2006-09-28",74.29,-57.081899,-29.83987
PARACATU,SE,MG,A571,"2018-03-16",712.0,-46.88166666,-17.24416666
CAMBARA DO SUL,S,RS,A897,"2016-11-24",1017.0,-50.14944444,-29.04888888
SETE LAGOAS,SE,MG,A569,"2016-06-10",719.0,-44.17333332,-19.455
ACARAU,NE,CE,A360,"2009-04-22",76.0,-40.08694444,-3.12083332
